gameId,summonerId,seasonId,gameVersion,gameMode,gameType,queueId,teamId,gameDuration,win,participantId,role,tier,rank,kills,deaths,assists,championId,minionsKilled,champLevel,wardsPlaced,goldEarned,goldSpent,visionScore,totalDamageDealt,largestMultiKill,teamFirstBlood,teamFirstTowerKill,teamFirstInhibitor,teamFirstBaron,teamFirstDragon,teamFirstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,riftHeraldKills
3235301535,hhgA9Uk1sUFJKS7Fn7glGT6kReuF6D60axMuBbQILzFQVB8,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,200,1751,True,7,MIDDLE,SILVER,III,6,5,4,31,119,15,3,9887,9250,5,97970,1,False,True,True,True,True,False,11,3,1,3,0
3235301535,OXWCXhy7PwGtdN8PHAkE7p0oqmf1iFVhA5U3JEI2MuTDus4,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,200,1751,True,8,TOP,BRONZE,I,4,9,3,48,140,15,9,11070,10650,17,156756,3,False,True,True,True,True,False,11,3,1,3,0
3235301535,P3B0ml-PZvZwbyfYeIiCkii2OSBmCvEvQJADmivLssHz7X0,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,200,1751,True,9,BOTTOM,GOLD,IV,7,4,8,236,103,13,11,10731,9100,19,97412,1,False,True,True,True,True,False,11,3,1,3,0
3235301535,ZeypxkLTrw8JbWtStlNmBnqyK4W-21QwbDBNai8_duBuUjw,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,200,1751,True,10,BOTTOM,GOLD,IV,2,2,16,16,18,13,28,8607,7200,69,23047,1,False,True,True,True,True,False,11,3,1,3,0
3235413390,o310Z6AGqsnTfWvhY7qv_zWkJQDT6Bszy86TJRJGVcK1BYc,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,100,1330,True,1,MIDDLE,PLATINUM,IV,17,1,2,38,148,14,7,12450,9400,11,123388,5,False,False,True,True,True,False,6,1,1,3,0
3235413390,g1HJ__r99_U_7VTg9g5NIoTTDgPiTH2qzjeRYzOF9edQsro,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,100,1330,True,2,TOP,GOLD,II,3,6,2,75,87,12,5,6718,4950,10,57703,1,False,False,True,True,True,False,6,1,1,3,0
3235413390,KJhRKrfXN5RWHY5oxkNKoOiJD7tLRVuWIyO8Tf11Bo5xP1th,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,100,1330,True,3,BOTTOM,SILVER,IV,5,2,4,29,132,12,8,8857,7500,18,77639,2,False,False,True,True,True,False,6,1,1,3,0
3235413390,tVsQ8TWn6ts4cElVZY9YfAVy_-lDTwjTfPoPBBkGISuZ2aw,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,100,1330,True,4,BOTTOM,SILVER,I,0,0,12,16,15,12,13,6909,4700,45,18021,0,False,False,True,True,True,False,6,1,1,3,0
3235413390,PkTh_H38Znj1rDimhH8Aq3j9-AhA7MbBFsyJXOlti0UmOTU,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,100,1330,True,5,JUNGLE,UNRANKED,N/A,3,3,4,35,24,12,4,8502,8050,19,111105,1,False,False,True,True,True,False,6,1,1,3,0
3235413390,xpi2mzxmKsTRBOkfmaISLsFOznTGl8-OW2RiHhhLsp-MvRs,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,200,1330,False,6,TOP,GOLD,I,6,2,1,83,128,13,6,9032,8900,10,94889,1,True,True,False,False,False,True,2,0,0,0,1
3235413390,m7OTATmfvaBf7puX63oxiDaLCPBEBca3i_l-0Vk4tqsGsxo,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,200,1330,False,7,JUNGLE,GOLD,II,2,7,2,131,27,11,12,7166,7125,19,113615,1,True,True,False,False,False,True,2,0,0,0,1
3235413390,pNS_uouYRsSJkhfMbyI-_JA-y7Ph4VWImPmZAbf96RpH,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,200,1330,False,8,BOTTOM,GOLD,I,2,7,2,99,13,9,13,5644,4000,18,21658,1,True,True,False,False,False,True,2,0,0,0,1
3235413390,OXWCXhy7PwGtdN8PHAkE7p0oqmf1iFVhA5U3JEI2MuTDus4,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,200,1330,False,9,MIDDLE,BRONZE,I,1,6,0,105,127,11,8,6212,5525,15,52828,1,True,True,False,False,False,True,2,0,0,0,1
3235413390,_7_HgyZeoqcPoEAdvcQYAC6LZQJKFRM8AZWL-_IG1DqfIco,13,9.24.300.6382,CLASSIC,MATCHED_GAME,420,200,1330,False,10,BOTTOM,GOLD,I,1,6,3,222,120,10,10,6587,6425,12,60701,1,True,True,False,False,False,True,2,0,0,0,1
3235347410,wWAbfEjC7PGV6ISzFIbf-A2xNdLiRrQztdD43-KzZV4TNOX0,13,9.24.300.6382,CLASSIC,MATCHED_GAME,400,100,1522,False,1,TOP,UNRANKED,N/A,2,7,1,57,114,13,7,6922,6350,13,94024,1,False,False,False,False,False,False,2,0,0,0,0
3235347410,ZU_L4m4O27z3Ysvfr9weWZiktJVL5ynD1xmR8hDA_yOgWgQ,13,9.24.300.6382,CLASSIC,MATCHED_GAME,400,100,1522,False,2,JUNGLE,UNRANKED,N/A,9,8,3,105,34,14,2,10704,10450,3,95016,1,False,False,False,False,False,False,2,0,0,0,0
3235347410,C60Dh64hwjlBEmM7GOvEg4qdXVDKpxar_vSSOuUOKtABFts,13,9.24.300.6382,CLASSIC,MATCHED_GAME,400,100,1522,False,3,MIDDLE,UNRANKED,N/A,4,3,1,517,128,14,4,7501,7300,6,73569,2,False,False,False,False,False,False,2,0,0,0,0
3235347410,LYHtFGQWN4-M152Cc7YCBz7EkJDM-faxwQeztVMVUAYM6-5s,13,9.24.300.6382,CLASSIC,MATCHED_GAME,400,100,1522,False,4,BOTTOM,UNRANKED,N/A,0,7,3,143,15,10,4,5235,4700,6,20497,0,False,False,False,False,False,False,2,0,0,0,0
3235347410,DbH2dEDkPJdetK7y_38OKwmKChdxLqm8kpnoxo3wKlJAZdo,13,9.24.300.6382,CLASSIC,MATCHED_GAME,400,100,1522,False,5,BOTTOM,UNRANKED,N/A,2,6,2,202,131,11,9,7371,7300,27,88473,1,False,False,False,False,False,False,2,0,0,0,0
3235347410,KJhRKrfXN5RWHY5oxkNKoOiJD7tLRVuWIyO8Tf11Bo5xP1th,13,9.24.300.6382,CLASSIC,MATCHED_GAME,400,200,1522,True,6,BOTTOM,SILVER,IV,12,3,5,29,138,14,8,10919,10825,21,80359,2,True,True,False,False,True,False,2,0,0,4,0
3235347410,CNAhna2dPw12weu1LPTx0yr1NZ3yytxuKGfA4-NUAECOyHk,13,9.24.300.6382,CLASSIC,MATCHED_GAME,400,200,1522,True,7,BOTTOM,UNRANKED,N/A,2,2,14,44,29,13,7,6472,4850,13,17690,1,True,True,False,False,True,False,2,0,0,4,0
3235347410,h7f9pqY1KsC5wrfuHSod9CuUF0skcdT_tOg2xrGCA0k_3LIL,13,9.24.300.6382,CLASSIC,MATCHED_GAME,400,200,1522,True,8,TOP,UNRANKED,N/A,6,4,3,266,126,14,8,8479,7475,14,98041,2,True,True,False,False,True,False,2,0,0,4,0
